product_id,product_name,main_category,sub_category,ratings,no_of_ratings,price
4c76b00f-dc40-434f-8572-bb6591810382,"Sukhrup 6Pcs Plastic Food containers for Kitchen Storage Set Rectangular, Fridge Storage Boxes with Air Tight Lid, Kitchen...",home & kitchen,Kitchen & Dining,4.2,93,"฿1,099"
ba8f0539-339a-49f8-bb6a-da1cda3e11f1,"Ogeneral 2 Ton 5 Star Split Inverter AC - White (ASGG24CGTB, Copper Condenser)",appliances,Air Conditioners,2.5,5,"฿85,260"
15c7b94c-6d11-49b8-837f-c7b946eed101,"MARKET 99 Metal Self Draining Tableware Storage Box - Spoon, Knife, Fork, Chopstick, Cutlery Holder Kitchen Organizer Stan...",home & kitchen,Kitchen & Dining,4.8,14,฿999
3eaa116d-e848-4706-94f1-869984d3aaa8,WUDENSEE Floating Shelves for Wall All Mount Corner Shelves Wooden Zig Zag Shelf Bookshelf Living Room Bed Room Office Kit...,home & kitchen,Furniture,2.8,4,฿899
627cb058-76d9-43a7-8d30-4fec15489377,"Linist Stainless Steel Travel Utensils Flatware with Case, Portable Reusable Flatware 3pcs Full Size Fork, Spoon, Portable...",home & kitchen,Kitchen & Dining,4.3,25,฿790
cd2134e2-0363-4343-9f8a-e8d709a0bf14,"Treo by Milton Trinity Mason Storage Jar, Set of 2, 470 ml",home & kitchen,Kitchen & Dining,4.1,492,฿430
04ced345-f94a-409b-b424-30426cfc655e,"La Opala Glass Cup and Saucer - 12 Pieces, White, 160 ml",home & kitchen,Kitchen & Dining,3.8,62,฿595
8c40b0a4-f96e-4cfe-abfe-effeaf99a9d5,TUSA LIFESTYLE Bean Bag Cover 4XL Without Beans with Footrest and Cushion Lounge Chair Luxury Bean Bag Cover with Footrest...,home & kitchen,Furniture,,,"฿1,299"
ccd5a534-a937-411f-a627-8fcdbe4df6f0,"StarAndDaisy K80 Adjustable Height, Plastic Finish Multi-Functional Kids Study Table with Book Holder, Drawer, Extra Large...",home & kitchen,Furniture,4.1,"1,101","฿9,999"
0510827b-f454-4e62-9cae-dbfe80e4828a,"Instant Pot Duo Plus60 9-in-1 Stainless Steel Multi-Functional Outer Lid Pressure Cooker, 6 Qt",home & kitchen,Kitchen & Dining,4.7,"36,016","฿24,900"
fa7f70ab-81b8-4dab-973d-29f6272d6d3d,Arsalan Iron Decorative Mirror Wall Mounted Hanging Mirror Sculpture Metal Hearts Design Modern Art Mirror Home Dcor Pack ...,home & kitchen,Furniture,4.0,68,"฿1,999"
d4193e35-4ced-4401-9e57-6763bf4e83b4,Amazon Brand - Solimo Food Grade Stainless Steel Lemon Squeezer,home & kitchen,Kitchen & Dining,4.2,"4,828",฿225
6bcdc755-0913-42b4-9156-2a04f04cd5b7,"Wyldy 100% Handmade Natural Coconut Coir Rope Knotted Design Doormats Large Size Door Mats Long Lasting, Weather Resistan...",home & kitchen,Furniture,4.1,12,"฿2,999"
6b8cec07-10f8-4c6a-adce-2d106bc6c149,"AGH Aluminium Pancake Maker with Side Handle Lid Cover - 20L, Black",home & kitchen,Kitchen & Dining,3.8,210,฿799
81313500-4534-4dc8-8f81-3e5ee88fca59,ADL PASSION Wall Mounted Plastic Bathroom Shelf with 2 Self Adhesive Stickers (White) (1),home & kitchen,Furniture,5.0,2,฿700
7404d6a6-49fc-4458-b813-3a723410a282,"INOVERA (LABEL) Kitchen Lid Pan Pot Dish Rack Holder Adjustable Cabinet Storage Organizer , White (Alloy Steel;Plastic)",home & kitchen,Kitchen & Dining,4.2,249,"฿1,299"
64ff5152-7a50-4ca8-8921-9c3d25d6455a,"Kaachbo Stainless Steel Small Lids for Glasses / Bowls / Tea or Coffee Mugs, Coasters, Set of 6 Lids",home & kitchen,Kitchen & Dining,3.8,5,฿140
f3895b4c-5836-4d2a-a2d3-75e881025341,"Homescape Products Baby's Sofa Cum Bed and Chair (Red, 0-2years, Foam)",home & kitchen,Furniture,3.9,536,"฿1,999"
a6cc9406-7789-47d4-9c16-10d3bb766d4d,"Amazon Brand - Solimo STAINLESS STEEL INSULATED SOLID ROTI SERVER, 1.1 L, SILVER",home & kitchen,Kitchen & Dining,4.2,"1,686","฿1,050"
f98722d7-5358-4a05-b26a-00f7f7325181,Nilkamal CNTBL1C Contemporary Center Coffee Table/Tea Table/Teapoy for Home/Living Room/Office & Outdoor (Plastic),home & kitchen,Furniture,5.0,2,"฿3,000"
b2996ac8-8b10-4c17-ac94-1ea112a47d30,"Kuber Industries Dining Table Cover 6 Seater|Table Cloth|Table Cover for Home, Restaurant|Transparent 3D Design (Silver)",home & kitchen,Kitchen & Dining,4.0,"1,199",฿349
a7bc8bbf-639f-4c74-b85f-c0c88169696e,SATTVA Classy.Elegant.Stylish Classic XXXL Bean Bag Filled with Beans - Grey,home & kitchen,Furniture,4.2,10,"฿4,299"
26292989-b947-4727-a381-9d483baec8ae,"Ikea Aerglo Klipsk Plastic Multipurpose Foldable Bed Tray (Black, 56 x 36 x 26 cm)",home & kitchen,Furniture,4.1,24,"฿1,499"
51f96310-bb96-480a-89aa-1dbfdead5e55,Wooden World Solif Wood Legs 2 Floor Center Table Coffee Table Foldable Portable Outdoor Table (Green),home & kitchen,Furniture,,,"฿7,899"
a3e798dc-ff88-48d6-a1b0-d8ad672ecf5f,NICOYA Bamboo Wood Extra Large Foldable Laptop Table/Study Table/Bed Table/with Metal Leg (70 * 40 * 25),home & kitchen,Furniture,4.5,215,"฿2,499"
11019589-987f-40b6-99da-c83caf5e7409,"Borosil Stainless Steel Hydra Sprint - Vacuum Insulated Flask Water Bottle, 400ML",home & kitchen,Kitchen & Dining,3.9,386,฿835
5debffc9-a8e2-4ebd-a786-0eca6de9cf0e,"PHIRKCRAFT Wooden Mini Corner Shelves End-Table for Home Decor| Multipurpose 3-Tier Corner Rack Shelves (Brown, Pack of 1)...",home & kitchen,Furniture,3.8,3,"฿1,999"
4c5f57b7-7ace-41ed-b508-c70f2ec752c3,KILSON Comfort Bean Bag Refill Filler for Filled Bean Bag 2KG - Get net Weight 1700 Gram,home & kitchen,Furniture,3.9,127,"฿1,599"
81d58a22-c4e3-4c83-8cf5-5bbc0da85ae9,Combined Associates- Premium 2 Kg Beans for Bean Bag Filling (2 kg Beans - 1400 Grams net Weight as per Indian Standard),home & kitchen,Furniture,5.0,1,"฿1,299"
d3d96426-3fe8-4e25-8ff5-0ac852c0e3ac,"UK Enterprise Relax Recliner Comfort Folding Chair for Indoor, Outdoor, Home, Beach, Garden, Lounge, Camping, Deck Chair (...",home & kitchen,Furniture,3.4,9,"฿7,899"
ce477cba-8297-43a6-ab9c-dedb73e9c37e,"UMAAS Unique Wooden Handicrafts Wooden Wall Rack Shelves White Set of 3 Shelves (4 x 16 x 4, 4 x 12 x 4, 4 x 8 x 4 inches)...",home & kitchen,Furniture,3.3,79,฿899
656154ee-17d1-4566-bfc2-f5f8dc824652,"Cello H2O Premium Edition Plastic Bottle, 1 Litre, Set of 3, Clear",home & kitchen,Kitchen & Dining,4.1,"1,141",฿648
7bb635a2-a1e3-4838-a46d-1ff2a8de55dc,"The Better Home Silicon Spatula Set for Non Stick Pans | Heat Resistant , Durable, Flexible Cookware Set | BPA Free & Odou...",home & kitchen,Kitchen & Dining,3.9,45,"฿1,349"
1179c42c-8fd2-47fa-afe5-6deac22ff736,MACCA Brand - XXXXL Filled Bean Bag (Faux Leather) (Black) (Jumbo Size),home & kitchen,Furniture,3.3,6,"฿2,499"
2b12630b-a01f-495f-944b-17a04819d7a7,ERAWUD Maria Wall Mount Tv Entertainment Unit/With Set Top Box Stand And Wall Shelf Display Rack Two Box For Black & White...,home & kitchen,Furniture,4.0,19,"฿13,999"
e200f8cf-6512-4fc9-b422-edfa46155d5b,Callas Adjustable Portable Multi-Purpose Office Laptop Table Desk Organiser with Cooling Fan | Study Table/Bed Table/Folda...,home & kitchen,Furniture,4.6,9,"฿2,099"
baa4e2fd-d745-4d58-afc9-b48f1dc813a6,UR LITTLE SHOP 24 X 36 Inch_2 X 3 Feet_PVC Stick Turf Mat_Foot Mat_Door Mat for Home Entrance_Floor Mat_Kitchen_Office_Bal...,home & kitchen,Furniture,3.0,1,"฿1,049"
ce411431-dd79-4290-a380-3ab6dd8ad26c,"CubiCubi Laptop Table Multi Purpose Adjustable Laptop Table for Bed Laptop Desk,Multi Use Coffee Table Modern L-Shaped Des...",home & kitchen,Furniture,3.6,27,"฿2,999"
6570f331-34fa-4633-96d6-2d9c82c6a3be,"Crevizon Small Wheels for Cricut for Table, All Furniture Wheel Chair Very Small Wheel 360 Degree Casters Wheels (4 Pieces)",home & kitchen,Furniture,,,฿899
95e506b9-57a9-4e23-bd03-dc2c311f90e0,ADTALA Self Adhesive Wall Mount Towel Holder for Home/Kitchen/Bathroom/Toilet/Multi-Function Towel Rack/No Drill Require -...,home & kitchen,Furniture,4.2,526,฿999
44bf4c50-127c-4501-8beb-371d5c183101,Cello Instyle Vacuum Insulated Flask with Jacket | Hot and Cold Water Bottle | Double Walled Stainless Steel Bottle for Tr...,home & kitchen,Kitchen & Dining,4.1,"1,180","฿1,259"
9696872d-c12f-4ac1-b038-26449f3d4227,"Spectro Mirror Tiles Mirror Wall Stickers (Non Glass),Thick Self Adhesive Acrylic Mirror Sheets,Wall Mirror Stickers (6....",home & kitchen,Furniture,1.0,1,"฿1,699"
443a1917-b890-447b-8841-909aeb9503a1,Rahi Stainless Steel Towel Holder | Rack Stand | Hanger Bar | Sink Napkin Hanger Holder | Rust Free Adjustable Rotating 4 ...,home & kitchen,Furniture,4.1,483,"฿1,599"
c3b42ffa-5e67-481e-a04b-fa0ce1c68879,BDMP Shoe Rack with Cover for Home 5 Shelves Multipurpose Rack Organizer for Shoe/Clothes/Books Stand Storage -(Rustproof ...,home & kitchen,Furniture,3.5,8,฿799
0f26cb84-8338-4edb-89b7-96f3d13daccb,"Haier 1.0 Ton 3 Star Inverter AC(Intelli Convertible 7-in-1, Triple Inverter+ Technology, 2023, HSU13K-PYS3BE1-INV, White)",appliances,Air Conditioners,,,"฿60,490"
24dc4d9d-3cdb-4125-9c3e-ecbc5799e02a,GR Traders Bean Bag Adults Beans Premium 2 Kg Beans for Bean Bag Filling Bean Bag Filler 2.0 kg High Density White Balls- ...,home & kitchen,Furniture,,,"฿1,299"
44b1a8fb-acb0-4277-9861-6b7c58929595,SKYWALL 80 cm (32 inches) HD Ready Smart LED TV 32SW-VS (Black),"tv, audio & cameras",Televisions,3.0,58,"฿21,250"
d1fd2bcd-ed89-40b1-a0b5-d19dd913e7dd,"Ikea Aerglo RASKOG Kitchen and Living Room Trolley (35x45x78 cm/13 3/4x17 3/4x30 3/4"", Black)",home & kitchen,Furniture,4.3,29,"฿3,999"
1cba1e34-5b5d-44fd-80b4-4ee97ebf65cb,Lukzer Engineered Wood 2 Layer Bed Side Table Wooden Organizer Stand Space Saving Storage Rack Multipurpose 2 Tier Shelf f...,home & kitchen,Furniture,3.6,3,"฿3,499"
83b53050-bfe9-430a-b4cf-202234d3dd0d,"FLOWEYS Stainless Steel Powder Coated Matte Finish Bathroom Shelve with Tumbler Holder, Soap Dispenser and Towel Bar (16 I...",home & kitchen,Furniture,4.1,63,"฿2,449"
658e350c-c4e7-4f29-9b1f-f0ef66543843,Crasts Electric Lighter for Candles Rechargeable Electric Gas Lighter /Candle Lighter Plasma Lighter Flameless Windproof U...,home & kitchen,Kitchen & Dining,4.1,756,"฿1,099"
0154be61-9cd5-4519-a55e-94734bba07df,Genius Cart Anti Slip Floor Door Mat | Bathmat Doormat Indoor Outdoor Mat for for Bathroom Entrance & Home Kitchen Office ...,home & kitchen,Furniture,3.3,6,฿799
27241bb9-1eb8-4d9e-9098-f0dadd7a527f,"Konquer TimeS Stainless Steel net Cover/lid for Milk, Curry | Set of 4 Pieces | 304 Food Grade Heavy Net Cover |",home & kitchen,Kitchen & Dining,4.0,607,฿499
40e885c8-f815-42bc-bc98-29d698790f7d,Dynore Stainless Steel Small/Mini Idli Maker/Stand (Silver),home & kitchen,Kitchen & Dining,3.9,323,฿500
d49be384-6af6-40f5-ab71-dbc1879811fb,"Spineheal OrthoX 4 inch Dual Comfort Single Bed Size Mattress, High Density Foam - Medium & Firm (72 x 36 x 4 Inches)",home & kitchen,Furniture,5.0,5,"฿5,110"
a24e3bc2-ba56-48f8-ab53-7ac61822decb,"Smart Homes No Need Drilling Adhesive Plastic Rectangular Multipurpose Wall Shelves (4 Bathroom Shelf, White)",home & kitchen,Furniture,3.3,13,฿999
eb39fb73-9381-48ba-99cb-49799f82c8ea,Cri8Hub Heavy Big Size Stainless Steel Spice 2-Tier Trolley Container Organizer/Basket for Boxes/Utensils Dishes Plates fo...,home & kitchen,Kitchen & Dining,4.4,8,฿660
6022fe5c-bf84-45b5-a366-1e78ecfdd690,SINAL Plastic Coffee Table (Finish Color - Deep Brown),home & kitchen,Furniture,2.5,9,฿999
51d69762-840c-42d2-bdf2-6e5172394b9a,Amazon Brand - Solimo Blooms Engineered Wood Wall Mounted TV/Entertainment Unit (White & Black),home & kitchen,Furniture,3.3,23,"฿3,500"
0caacc1e-9ba1-44f4-9077-86b152d78577,CERAMIC DINING White Leaf Shaped Ceramic Dip Bowls Set of 2 || Ketchup Bowls || Sauce Bowls || Chutney Bowls,home & kitchen,Kitchen & Dining,4.3,7,฿399
a45a2834-05bc-419a-b060-d432996a8c85,Yazada Salt Pepper Grinder Crusher with Adjustable Coarseness Pepper Mill Shaker Crusher Salt Grinders (1 pcs),home & kitchen,Kitchen & Dining,4.0,811,฿999
205349d5-3601-4c2c-bdef-c339a2e797a0,"OGeneral AXGB24BAWA 1.7 Ton 4 Star Window AC (Copper, Clean Air Filter, 2021 White)",appliances,Air Conditioners,3.5,4,"฿54,740"
783b12b4-9e5b-44c4-b5b8-0b9d98e6e61d,BlowHot Jasper Heavy Brass 4 Burner Auto Ignition Gas Stove | Toughened Glass Cooktop - Stainless Steel Frame - 1 Year Gen...,home & kitchen,Kitchen & Dining,4.1,910,"฿11,990"
a7021d37-1eb6-4821-94f8-ae84d6593789,HOKIPO® Eco-Friendly Bamboo Wooden Coasters for Home Pan Pot Holder for Dining Table Heat Pad for Kitchen - Pack of 4 (AR2...,home & kitchen,Kitchen & Dining,3.9,143,฿399
dbc4b3a2-01db-4e87-a465-b6e8c2a6aa60,"ANTIQUE® Multi-Purpose Laptop Desk for Study and Reading with Foldable Non-Slip Legs Reading Table Tray, Laptop Table, Lap...",home & kitchen,Furniture,3.5,306,"฿1,200"
29111390-eb3d-4732-8216-de1b57fd36e8,Nilkamal Plastic Iron RED Stool STL 12,home & kitchen,Furniture,3.5,148,"฿1,299"
f72be241-3ae9-47d3-84ec-29b767ce32d7,"Milton Venice Jr. Insulated Inner Stainless Steel Casserole,Set of 3, (450 ml, 850 ml, 1.35 Litres),Marble Green | BPA Fre...",home & kitchen,Kitchen & Dining,4.3,"1,353","฿1,360"
9ecc2b02-4680-44f8-bf15-8a285348a707,"GPET Silver Line Containers (Set Of 9) 9C - 2000 ml, 1000 ml, 750 ml Plastic, Steel Grocery Container (Pack of 9, Silver) ...",home & kitchen,Kitchen & Dining,4.1,173,"฿1,576"
e87b21c0-bcb4-4a0c-9eb8-32ad46a0f7ee,"SELVEL Giving shape to life! Airtight Dry Fruit Container Tray Set with Lid & Serving Tray,Box Set with Serving Tray for S...",home & kitchen,Kitchen & Dining,3.1,4,"฿2,999"
7d5ef24f-d4e2-4335-9e19-8231bf06def4,999STORE Printed Mirror for Wall Full Length for Bedroom Mirrors for Home Grey Sky& Stare Pattern 5ft Mirror for Wall (MD...,home & kitchen,Furniture,5.0,1,"฿8,999"
485999fd-e04e-4f51-aa57-523de8e17a99,"Jarina Soft Cotton Filled Mattress (1 Sleeping Capacity, 3 x 6 ft or 72 x 36 Inch, Multicolour)",home & kitchen,Furniture,4.5,3,฿999
f6880db8-679f-4d58-a075-9197b1156207,"NIHARA Smart Multipurpose Foldable Laptop Table with Cup Holder, Study Table, Bed Table, Breakfast Table, Foldable and Por...",home & kitchen,Furniture,4.0,119,฿999
5d131baf-4311-422d-88c5-9953138c2488,"BISON WILD CRAFTED Travel French Press Coffee Maker Cum Travel Coffee Mug With Sipper Lid, Vacuum Insulated Thermos Stainl...",home & kitchen,Kitchen & Dining,4.3,471,"฿2,999"
d46997b9-d3b5-4565-b6cb-ae5b96d83560,"DEEJET Self-Adhesive Metal Bathroom Corner Rack Storage Shelves, Bathroom Storage Rack Corner, Steel Bathroom Corner Shelf...",home & kitchen,Furniture,4.4,39,"฿1,499"
4e746dbb-c7c3-43f4-9564-1179f8f35cc0,Caneuf Castor Wheels Heavy Duty Plywood Caster Type with Polypropylene Plastic Twin Castor for Furniture/Cooler -(Set of 4...,home & kitchen,Furniture,3.9,33,"฿1,299"
7f04d376-3bd2-4c99-bcb1-1ecef7088a5c,5star Black Flower Print Refrigerator,appliances,Refrigerators,,,"฿31,700"
6cd8e09b-1dcb-41d2-8fd9-411b64187e16,JB KIARA TEXTILES Thick Wooden Bamboo Kitchen Chopping Cutting Slicing Board with Holder for Fruits Vegetables Meat,home & kitchen,Kitchen & Dining,4.0,"3,010",฿999
74972173-9955-4933-8ada-baed0542d293,"NESTAR ® Plastic Egg Separator, Egg Yolk Separator Egg Strainer Filter Dishwasher Safe Kitchen Bake Tool (White )",home & kitchen,Kitchen & Dining,4.0,669,฿225
5f6f394a-2ee8-4903-aaa2-fb453f885025,"MASALA POTLI® Professional 100% Cotton PACK OF 2 Hung Curd Hemmed Edges MUSLIN Cloth for Straining, Roti Cover, Cheese, Yo...",home & kitchen,Kitchen & Dining,4.3,5,฿600
cf7e7f11-37e2-43f0-bf08-7b2300a63791,Kuber Industries Artificial Grass Mat for Balcony (Size- 1.5 X 2 Feet)-CTKTC033039 (Green),home & kitchen,Furniture,3.7,81,฿598
140d421e-600a-4a40-a8ba-6a35b9df2fc9,"Milton Gulp 1100 Thermosteel 24 Hours Hot or Cold Water Bottle, 940 ml, 1 Piece, Silver",home & kitchen,Kitchen & Dining,3.8,87,"฿1,330"
fc5543d5-5ddf-461a-be6a-71b6036dd845,"Hawkins Futura Sealing Ring for 3 Litre Futura Pressure Cooker, Black, Standard (F40-16)",home & kitchen,Kitchen & Dining,4.2,271,฿65
ef0d1298-e8c8-4493-8fe9-2103a92cbd65,"LG 11 Kg 5 Star Inverter Wi-Fi Fully-Automatic Front Load Washing Machine with In-Built Heater (FHP1411Z9B, Black VCM, AI ...",appliances,Washing Machines,3.9,3,"฿67,990"
95bb56fa-5a52-4b46-8349-57b55f65c438,Ammarsons Super Quality Stainless Steel Bathroom Grab Bar Home Assist Safety Helping Handle Bars Silver Color (Pack of 2)...,home & kitchen,Furniture,3.7,160,"฿1,995"
f023bc0f-5b7e-432a-a6f2-7e20188c6fc9,"Pigeon by Stovekraft Cruise 1800-Watt Induction Cooktop (Black) & Basics Aluminium Nonstick Cookware Set, Set of 3 (with o...",home & kitchen,Kitchen & Dining,3.0,23,"฿6,488"
626518a3-d9bc-4da2-83d4-efde7e5c7242,"Cello Refresh Stainless Steel Double Walled Thermos Water Bottle, Hot and Cold, 750ml, 1pc, Grey",home & kitchen,Kitchen & Dining,4.0,"1,264",฿799
8c3ec02b-c4a3-4d11-ac68-2f6d8935cdd2,ThinkPro Garden/Balcony Furniture - Outdoor Folding Furniture Set - 1 Table & 2 Chairs - Used as Garden Table/Kids Study T...,home & kitchen,Furniture,4.5,113,"฿10,999"
6bff752f-7d63-404c-820c-32d09130a422,iSTAR Clear Transparent Plastic Soap Dish Tooth Brush Holder Home Acrylic Bathroom Faucets Accessories Corner Acrylic Wall...,home & kitchen,Furniture,4.3,33,"฿1,299"
17202a09-68f0-431d-8843-b66b6c3fc788,NAVRANG INNOVATIONS Plastic Neo Mini Bathroom Cabinet with Mirror and Shelves White 12.5X17inches,home & kitchen,Furniture,4.1,389,"฿2,250"
c9cad714-a93f-476b-b9e4-ecab38218cd4,"SPINEHEAL MATTRESS Orthofit 4 Inch Dual Comfort Single Bed Size Mattress, High Density Foam - Medium & Firm (72 X 30 X 4 I...",home & kitchen,Furniture,3.2,73,"฿4,259"
227fa2a6-ef73-4a97-bd12-ad10ae1e950f,VINTAGE ARTS Metal Finish Wine Storage Organizer Display Rack | Wine Rack,home & kitchen,Furniture,5.0,2,฿999
94be70d3-13fb-4f8e-8a63-fe5414f25fb4,"SAMJU Air Tight Gold Metal Cap Hexagon Glass Jar with Rust Free, Suitable for Use in Your Home Office, Kitchen Storage/Gla...",home & kitchen,Kitchen & Dining,4.4,258,"฿1,199"
04ce4fde-c42d-418c-8055-aa78260cb136,FINGERTIP Shilpa Jug Tool Touch 2 Litter Stainless Steel Water Jug with Lid for Hotel Restaurants and Home Use| Drinking W...,home & kitchen,Kitchen & Dining,3.4,17,฿999
d2ad8ccf-f7f0-463b-80dd-3c9e26239bf3,CRAFTFRY Hygienic Air Tight Glass Cap Water/Milk/Juice Bottle 300ML (PACK OF 10).,home & kitchen,Kitchen & Dining,3.7,14,"฿1,499"
173dd40e-db50-4cb4-a2bf-7dd5641bad07,"Bergner Argent Elements Tri-ply Stainless Steel Unpressure Cooker With Outer Lid (3.5 Ltrs., Silver)",home & kitchen,Kitchen & Dining,4.2,"1,232","฿4,695"
d0836fd7-6369-450a-82c5-4cf2bea4c273,"Milton Stacko 360° 3000 Storage Container, 2.66 Litre, Transparent, 1 Piece",home & kitchen,Kitchen & Dining,4.0,22,฿310
78fbc2e7-b3ce-407a-ad74-f2ec3750148a,Laptop Desk Portable Laptop Bed Tray Table Notebook Stand Reading Holder with Foldable Legs & Cup Slot for Eating Breakfas...,home & kitchen,Furniture,4.5,"1,966","฿1,699"
acd88d07-d219-477b-9a16-5139cc52a02d,300000 Pels 1000X USB Connection Portable Digital MicroscoPhoto Video Modes Multi-Function Microsco360° Bracket 8 LED Adju...,"tv, audio & cameras",Televisions,,,"฿3,306"
993f9f86-5eb3-42ed-a2ff-e47d0726c4b5,WOOD KARTINDIA Wooden Floating Wall Shelf/Wall Rack/Book Shelf/Home Decoration Shelves / Wall Display Rack For Living Roo...,home & kitchen,Furniture,3.7,334,"฿2,199"
5c791ce9-5aea-49dd-a6bf-f6efccb37d2f,Oumffy Shoe Rack Storage Organizer - 10-Shelves DIY Shoe Rack Organizer/Multi-Purpose Plastic 10 Shelves Portable and Fold...,home & kitchen,Furniture,3.6,215,"฿8,586"
d675ea33-0c36-4f61-abe1-ad9d9eb9fbce,"MLU Kids Study Table and Chair Set (Pink) Height Adjustable Wooden Baby Desk Age Between 2-11, with Free 8+1 Socket Extens...",home & kitchen,Furniture,4.0,65,"฿6,999"
9b5f9d19-ad37-49c5-804b-763b76098261,"Weight Machine For Kitchen RYLAN Digital Kitchen Weighing Scale & Food Weight Machine for Diet, Nutrition, Health, Fitnes...",home & kitchen,Kitchen & Dining,4.1,"2,541",฿499
822ce51d-2ca4-482a-b7d2-31a1a1cd8636,"Daikin 1 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2023 M...",appliances,Air Conditioners,4.2,558,"฿48,200"
10e6c183-ca7d-4ec9-80f6-5889153d4e89,"MOM'S GADGETS ASIAN Metal & Plastic Extra Strong shoe rack Multipurpose Shelves Shoes, Clothes, Books & Utility Rack Plast...",home & kitchen,Furniture,3.7,125,฿998
1c866f0b-8481-4291-acd9-cc86cf80ad9c,moonwooden Solid Wood 6 Seater Dining Table Set with 6 Chair for Home & Office Furniture| Hotel & Dinner | Drawing Room Fu...,home & kitchen,Furniture,4.3,11,"฿69,999"
d3ffb0b0-68fa-452b-be8e-4a93d2b58639,"IBELL Stainless Steel Idly Pot with Steamer and Mini 3 Idli Plates , Silver",home & kitchen,Kitchen & Dining,4.1,654,"฿3,350"
7879e75b-e302-4296-b373-85440fb9295e,"LUXURY DECORATIVE EYE Wooden Assembled Dressing Table With Shelves, Full Length Mirror And Storage Box (Walnut)",home & kitchen,Furniture,4.6,4,"฿12,999"
0872b9c7-0d18-4b9b-8c5c-d6ced36658d5,"Supreme Modern Penta Round Glossy Plastic Table (Marble Beige), Standard",home & kitchen,Furniture,4.6,42,"฿2,999"
016e7ff9-a9f8-44b8-b648-f7c550fb9df1,"Haier 7 Kg 5 Star Super Drum Inverter Fully Automatic Front Loading Washing Machine (HW70-IM12929S6, Starry Silver, PuriSt...",appliances,Washing Machines,,,"฿48,000"
2d207ae5-83c4-4056-9cf0-07666cd7788f,JL Home Décor Handmade Decorative Wall Décor Mirror Frame | Carved in Solid Hard Wood | Rustic Mirror Frame for Bedroom | ...,home & kitchen,Furniture,,,"฿1,500"
93f8b48f-276e-47d6-acab-314fb311ed55,Amazon Brand - Umi Beautiful Wooden End Table for Living Room (White) (Sun Top Brown),home & kitchen,Furniture,3.5,8,"฿6,499"
e6e800ef-ff7b-4f8a-91d4-9459d35687d2,LG 8 Kg Front Load Washing Machine (FHP1208Z9B_Black),appliances,Washing Machines,,,"฿54,990"
f6575efb-d379-40c7-8351-18f271e4af2c,Kofy Gas Can Butane/LPG Single Nozzle With 1Pc Torch Gun + Butane Can 500ML,home & kitchen,Kitchen & Dining,4.1,535,฿799
